Group,Distribution,Chi_Squared_Stat,Chi_Squared_p,KS_Stat,KS_p,Params
19,gamma,26.334240394977353,0.00019287856428151784,0.058355087697914754,0.0021704733635813586,"(3.622883788123137, 7.338171512869019, 7.809918265574994)"
19,weibull,16.48908025107864,0.011356240958793395,0.04966376583555454,0.014195501085005021,"(1.497854528540819, 13.690404259464808, 24.494974027877966)"
19,normal,436.1452333815818,0.0,0.1209284442494497,3.7679264163369436e-13,"(35.63253012048193, 15.434519870687621)"
19,lognorm,10.240328194492978,0.11488933448820982,0.04421327303273198,0.039511541242564285,"(0.46007233356225236, 3.3260803650375244, 29.071139561448394)"
19,loglogistic,18.036112916138677,0.006142578056737014,0.044004606104023014,0.04099392431542981,"(3.3832213343810924, 6.108022200096812, 26.00671310632992)"
19,pearson3,26.33439028367072,0.00019286614006419622,0.05835256635870767,0.002171751300920266,"(1.0507594402356317, 35.632486081938794, 14.865231265477334)"
20,gamma,26.222340608032574,0.00020237772581810365,0.041554585806461874,0.08051792103608746,"(8.15202410521417, -0.47257011125407317, 8.197625066205939)"
20,weibull,143.61951353928842,0.0,0.06609550693211119,0.000603603788243911,"(2.6413395125040644, 5.406101328571443, 68.54070064637807)"
20,normal,364.27542778815103,0.0,0.08751853370260199,1.3571003156951539e-06,"(66.35466377440348, 24.067940371732636)"
20,lognorm,11.4612702853055,0.07512446124748118,0.030803977508714997,0.338912178401955,"(0.2874267997375117, -14.537774119782831, 77.59551458957465)"
20,loglogistic,7.1265617849509795,0.3093013567420879,0.030371504341490163,0.35568261799189804,"(4.9600676942517286, -0.1475781974110538, 62.57703820708898)"
20,pearson3,16.037850405484637,0.01355224478201289,0.03134372397166696,0.3187338865555457,"(0.8642152953103392, 66.40909625924175, 23.582254284232903)"
21,gamma,33.569186804830046,8.146527085584054e-06,0.05898161924603007,0.23316173538111107,"(13.998139312443577, -32.41057323904295, 11.318667416104496)"
21,weibull,259.502880683776,0.0,0.06736214808475671,0.12213749432972687,"(1.9357794185903883, 53.5620928323667, 84.18201174705356)"
21,normal,85.80811488579025,8.881784197001252e-16,0.0941351609410016,0.008682429148301697,"(126.02970297029702, 42.889247680257114)"
21,lognorm,30.64702285430397,2.9601080103414112e-05,0.05615329899120372,0.2842385444667208,"(0.1956885988102329, -88.74702126031814, 210.68447154362022)"
21,loglogistic,20.26747708662064,0.002481502722471718,0.038857268531742095,0.7349296580889472,"(8.083526824326487, -62.202627423879264, 183.4176252667167)"
21,pearson3,33.569243062592136,8.146323624003138e-06,0.058981734824744,0.23315979856274804,"(0.5345558557467341, 126.02970644991946, 42.34777067208679)"
22,gamma,23.599186957846793,0.0006187380931970132,0.08388276345543841,0.04279982709044494,"(1277.8021880890158, -2733.859146413766, 2.3594947754892424)"
22,weibull,19.03928315752518,0.004097801716609228,0.07515620783391772,0.0909640775104632,"(2.7904655518154544, 67.57892846677166, 240.27940962458126)"
22,normal,23.757539814050766,0.0012566899861821135,0.08526920026749651,0.03768032518066122,"(281.13382899628255, 84.31691813980925)"
22,lognorm,23.58985958079635,0.0006211802671798328,0.08288269127488873,0.04685848008643578,"(0.03607342052346345, -2056.7217880688618, 2336.335340237629)"
22,loglogistic,33.0710228598703,1.016097969241958e-05,0.0895245708739704,0.02515566107414835,"(99.93794024295167, -4761.940124293686, 5042.606684006663)"
22,pearson3,23.527442515627115,0.0006377684960446883,0.08174091415593382,0.05189587371225557,"(0.15049177231289568, 281.13386288797693, 84.42471000338111)"
23,gamma,15.723238829613662,0.015319118137596122,0.07289241225339638,0.2445615626192631,"(1.9122263929562802, 16.120685194743857, 78.76152129891628)"
23,weibull,16.300334426718,0.012229587401462627,0.08251836062242923,0.13647818985216797,"(1.4455024102452643, 17.951015186820474, 164.22123266313838)"
23,normal,54.652873875672995,1.7466594837145522e-09,0.1509940524803216,0.00026295029001016407,"(166.73056994818654, 104.35982962601814)"
23,lognorm,18.75492536378845,0.0045981826188677966,0.08529571699515359,0.11376873656462183,"(0.6236261967803479, -8.140806565470635, 145.3979619748391)"
23,loglogistic,25.33684609798565,0.0002957324633241498,0.08933405967370378,0.08637799825484693,"(2.5381241049160828, -0.3909857150441044, 136.94970678734012)"
23,pearson3,15.723237024558442,0.015319128882356758,0.07289233254527672,0.24456266793206227,"(1.4463058362952297, 166.73058128935787, 108.91398828508946)"
24,gamma,29.405262930618388,5.098012880555558e-05,0.053071035658312726,0.37446563734606486,"(2.8565805388713708, 19.59902725200407, 14.997753000155459)"
24,weibull,46.10325757242745,2.8236698090822188e-08,0.07250161692792334,0.09023618997070759,"(1.6723527801907943, 20.701697170993448, 46.93322296418917)"
24,normal,345.58342856491606,0.0,0.13181980550331485,7.447773682653244e-05,"(62.44137931034483, 26.611347297610745)"
24,lognorm,18.575387016193545,0.004944201658245828,0.03596191712633423,0.8340933582053918,"(0.5118573004663866, 13.18560247003406, 43.21168852573076)"
24,loglogistic,18.178194906879735,0.005801970619403907,0.03953891607505611,0.7396242192794025,"(3.090399727053307, 16.905049671896073, 39.04205961228104)"
24,pearson3,29.405080297055513,5.09841937644806e-05,0.05307208845936651,0.37444158528789384,"(1.183331869843467, 62.44138346230146, 25.348371560668184)"
25,gamma,11.206982517344215,0.08218619871000143,0.059719664620553226,0.5052863085236869,"(38.89365080362299, -74.16650924533752, 4.399495768516656)"
25,weibull,10000000008.628681,0.0,0.06524975227395458,0.39338782087711766,"(2.3832589619961286, 36.36792983542307, 68.67703777569218)"
25,normal,16.739702515562186,0.01915396944335701,0.06257457570835634,0.4456461734596907,"(96.94594594594595, 27.541365396235715)"
25,lognorm,11.016173054162728,0.08787786882120552,0.06107876866037876,0.4764352269425247,"(0.11519848365265767, -140.58114638468072, 235.95407579254473)"
25,loglogistic,12.236081950351233,0.05690463903639187,0.053855926931717035,0.6366414394942507,"(15.79925959162445, -144.84175963949323, 240.3687103369396)"
25,pearson3,11.207031848154118,0.08218477176618255,0.05971975422363024,0.5052843809675357,"(0.3206890825884093, 96.94591363507939, 27.437343275996653)"
26,gamma,11.496288730850903,0.07419680937127637,0.06865731158650235,0.29453333478940813,"(83.01733298335299, -125.95572371645125, 3.0969699851377506)"
26,weibull,40000000006.58709,0.0,0.07774248313052001,0.1732031588674009,"(2.7202259480774025, 61.83347321674641, 78.59040617768275)"
26,normal,14.36125002455125,0.0451167896689485,0.08095541265412098,0.14122410673021668,"(131.14646464646464, 28.285231229090094)"
26,lognorm,11.35249185083278,0.07807433327197133,0.06734487914619391,0.31616189954798746,"(0.07990155001108284, -221.54161648864257, 351.56299752066786)"
26,loglogistic,8.409941240275668,0.2095814233060984,0.03880151431977774,0.9153497420336745,"(8.316669732458342, -0.9821684393775307, 129.79639136916524)"
26,pearson3,11.496342618487914,0.07419539000890174,0.06865721641054834,0.29453486456607314,"(0.21950369362956906, 131.14646110513357, 28.217651371266356)"
27,gamma,3.116161473528706,0.7941325239314216,0.06059111532857164,0.9819139642617956,"(1.9493468276863988, 38.98261599525018, 116.92366511025844)"
27,weibull,3.166309562579949,0.7877024435047951,0.0708572763867773,0.9313685525889703,"(1.4020395309930518, 46.04070607464281, 242.2645878481663)"
27,normal,19.045521854215362,0.008045928595265539,0.15695316139127669,0.12537522622315633,"(266.9074074074074, 159.13100455849883)"
27,lognorm,3.987335064717689,0.6783904230499209,0.06051492386276902,0.9821404931826094,"(0.5609615431739565, -15.158673637951843, 242.00879318353648)"
27,loglogistic,5.227173495136007,0.5150240675986735,0.06762705100216093,0.9517415287016433,"(2.7040029831669035, 9.951424840840982, 214.65552982539174)"
27,pearson3,3.116158811499034,0.794132864078597,0.06059111578178589,0.9819139629084347,"(1.4324700015139564, 266.90740292127225, 163.2476987190604)"
28,gamma,6.047365989564847,0.41790509788926067,0.06794855924849363,0.4892520793955344,"(2.330352825624109, 17.79599634200131, 140.121582105397)"
28,weibull,5.122062372285438,0.5282558669326323,0.05484580821871621,0.7508917018767605,"(1.5872961195406616, 25.789662166780264, 355.47181345291733)"
28,normal,27.518798080120426,0.0002686997483631881,0.08742979389555927,0.20216651162719979,"(344.32876712328766, 206.30297940029592)"
28,lognorm,8.629589109554988,0.1955061731741825,0.08179938405280296,0.2677912433192733,"(0.5323815163338742, -53.95253352341995, 347.62170030459987)"
28,loglogistic,11.689156012570285,0.06927364956317394,0.08405484872509617,0.23983876854819586,"(2.764622661164897, -16.049308736062798, 309.7400847543974)"
28,pearson3,6.047362333082914,0.4179055042457972,0.06794849188517238,0.4892533484735222,"(1.3101445668627818, 344.3287638151413, 213.90254864639348)"
29,gamma,17.285884118025162,0.008288055667234895,0.11304741142676089,0.3333712673372472,"(2.3887429982421056, 14.864128481384885, 9.772841849063706)"
